No.;JOURNAL 2017;Impact_Factor_2017;ARTICLES (included and excluded);Article included or excluded ?;Conclusion;"Biological repetition  (Triplicated refers to > or = three times); or meta-analysis.";More_or_not;Considered as having more than three replicated results  ?;Exclusion criterion note. (gmos = genetically modified organisms created in this study and likely not bulked);Global or pooled p value, limit or result, found (sometimes indicated by global means with pooled results);Post-hoc or individual repeat p value, limit or result, found;Chosen relevant aim/result with categorically distinct groups;Note on study design;Categorically distinct groups;Chosen relevant quantitative parameter;Relevant statistical method(s).;One relevant p value, limit or result.;Factor replicated;Was evidence found for method replication ?;Was evidence found for replication of results ?;Results shown for each of the two, three (or more) experimental replicates ?;p-value or limit found in Abstract;p-value or limit found in Figures or Tables;p-value or limit found in text;p-value or limit found in supplementary file;Further notes.;Further notes 2.;"Risk: Evaluation is for main result. Low = p value or limit clearly for a main result; Medium = unclear if p value or limit  is for main result. Note this is for interest only - and non-main results were not excluded.";Risk: Repetition. Risk that number of replicates recorded is incorrect: Low = number of repeats clear including non-repeated. Medium = doubts arise as to how many times the investigation has been repeated or not. High = unclear how many times the investigation has been repeated or not. ;Risk: Repetition of p value (or p-value limit). Low = clear that p value has been repeated or not repeated. Medium = doubts arise as to whether the p value has been repeated or where the other p-values are (or whether it was obtained from all repeated results combined i.e. a Global p-value(s)). High = unclear whether the p value has been repeated or not. ;Details concerning relevant groups;Evidence for manipulation or random placement of groups during study;Indication of Association study;Notes;ASSOC_EXP;"Risk: reflecting doubts concerning identification of association or experimental: L = low; M = medium, H = high"
1;PHYTOPARASITICA;1.007;"Kovács C, Balling P, Bihari Z, Nagy A, Sándor E. Incidence of grapevine trunk diseases is influenced by soil, topology and vineyard age, but not by Diplodia seriata infection rate in the Tokaj Wine Region, Hungary. Phytoparasitica. 2017;45: 21–32. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Introduction: ""to investigate the incidence of GTD [grapevine trunk diseases] in different vineyards"" ";"Abstract: ""Five vineyards within 15 km radius – each with different topology, soil types, varieties and age – were studied for three consecutive years""";Vineyards;Incidence;Mann–Whitney U test;p < 0.05;Year;Yes - three years: 2013, 2014 and 2015;"Yes: ""The evaluations of external GTD symptoms were carried out between May and August in each year from 2013–2015""";No: (Table 2 does not show differences within one year).; - ;"Fig. 2 ""Mean disease incidence (DI% ± SE/SD) at the different vineyards in the Tokaj Wine Region, Hungary between 2013 and 2015. Letters indicate significant differences (p < 0.05) according to Mann–Whitney Utest. Number of sampling sites according to Fig 1."""; - ; - ; - ; - ;L;L;L;Vineyards;Not found;"Abstract: ""Five vineyards within 15 km radius–each with different topology, soil types, varieties and age– were studied for three consecutive years (2013–2015)."" ";observations involved use of complex techniques;Association;L
2;IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT;1.057;"Batista DS, Castro KM de, Ribeiro DM, Caixeta ET, Oliveira Santos M de, Viccini LF, et al. Ethylene Responses and ACC oxidase Gene Expression in Lippia alba (Verbenaceae) Chemotypes with Varying Ploidy Levels. In Vitro Cellular & Developmental Biology - Plant. 2017;53: 278–284. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Introduction: ""ET [Ethylene] responses and ACO [1-aminocyclopropane-1-carboxylic acid] expression in L. alba""";"Methods: ""Both experiments were carried out in a 3 × 5 factorial design (15 treat- ments) with 6 replicates; each replicate was composed of one flask. """;Treatment;Ethylene accumulation;Duncan’s test;p < 0.05;Flask - each flask can be regarded as one replicate;Yes - 6 flasks in 3 blocks were identical ;Result replication not found;no; - ;Table 2. P < 0.05; - ; - ;"""The ET activity in three L. alba chemotypes (BGEN-01, triploid; BGEN-02, diploid; and BGEN-42, hexaploid)"" "; - ;L;L;L;"Treatment: Methods: ""Both experiments were carried out in a 3 × 5 factorial design (15 treat- ments) with 6 replicates; each replicate was composed of one flask. """;"Methods: ""Both experiments were carried out in a 3 × 5 factorial design (15 treat- ments) with 6 replicates; each replicate was composed of one flask. """;n.a.; - ;Experimental;L
3;JOURNAL OF APPLIED BOTANY AND FOOD QUALITY;1.115;"Tonk FA, Kaya E, İştipliler D, İlker E, Turanlı F, Tosun M, Yılmaz E, Ersin F, Takak ES, Çakır M. Identification of resistance to Eurygaster integriceps Put. on some bread wheat genotypes. Journal of Applied Botany and Food Quality. 2017 Feb 7;90:52–7. ";Included;Triple result (repetition) protocol;Triplicated;Yes - 4;Yes - 4;n.a.;n.a.;Individual statistically significant differences shown;"Introduction: ""to determine whether there were any differences between the infested and the non-infested Sunn pest cages in terms of observed wheat traits,""";"""Seven bread wheat landraces from Sunn pest prevalent areas of
Turkey and four wheat lines from ICARDA, which were identified
as resistant to Sunn pest""";genotypes from ICARDA versus landraces from Turkey;TGW, Thousand Grain Weight,;ANOVA and Least Significant Difference;p < 0.05;Race;Yes - seven  landraces versus four ICARDA lines;Yes - Fig 1;Yes - Fig 1; - ;Fig 1 - differences shown at the top of each panel are statistically significant; - ; - ; - ; - ;L;L;L;"Abstract: ""genotypes from ICARDA had higher resistance than the landraces from Turkey to Sunn pest""";"Abstract: ""The genotypes were planted in a randomized block design using hill plots in nylon mesh screening cages in wheat growing season of 2011-2012 and 2012-2013""";n.a.; - ;Experimental;L
4;PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS;1.151;"Kichigina NE, Puhalsky JV, Shaposhnikov AI, Azarova TS, Makarova NM, Loskutov SI, et al. Aluminum exclusion from root zone and maintenance of nutrient uptake are principal mechanisms of Al tolerance in Pisum sativum L. Physiol Mol Biol Plants. 2017 Oct;23(4):851–63. ";Included;Triple result (repetition) protocol;Triplicated results;Yes - 4;Yes - Fig 5a;n.a.;n.a.;p < 0.05;Figs 5 and 6: Comparison of Aluminum sensitive and Al resistant genotypes ; - ;"Figs 5 and 6: ""untreated control and Al-treated plants"" ";Root aluminium content;LSD test;p < 0.05;genotype;Figs 5 and 6. Four Al.-resistant genotypes shown;Figs 5 and 6. Four Al.-resistant genotypes shown;Yes; - ;Figs 5 and 6; - ; - ;"""Vertical bars indicate standard errors (n = 15)."""; - ;L;L;L;Figs 5 and 6: Comparison of Aluminum sensitive and Al resistant genotypes ;"Figs 5 and 6: ""untreated control and Al-treated plants"" ";n.a.; - ;Experimental;L
5;AGROFORESTRY SYSTEMS;1.201;"Orefice J, Smith RG, Carroll J, Asbjornsen H, Kelting D. Soil and understory plant dynamics during conversion of forest to silvopasture, open pasture, and woodlot. Agroforestry Systems. 2017;91: 729–739. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Introduction: ""We hypothesized that understory plant species composition and soil properties would diverge between silvopasture, open pasture, and thinned forest treatments.""";"""split-plot randomized complete block. "" ""Each main plot treatment was replicated three times in 1/3 hectare plots and the locations of these plots were randomized within each of the three blocks.""";"Introduction: ""silvopasture, open pasture, and thinned forest treatments""";Species richness;"""A split-plot ANOVA"" ""Pairwise comparisons were made using the Least Significant Difference method.""";p < 0.001;Plot;Yes - one plot in each of three identical blocks;Result replication not found;no; - ; - ;"""Treatment had a significant effect on richness of non-woody understory plants (F = 6.015, P = 0.037)."""; - ;"""Each main plot treatment was replicated three times in 1/3 hectare plots and the locations of these plots were randomized within each of the three blocks."" The results were then pooled."; - ;L;L;L;"Introduction: ""silvopasture, open pasture, and thinned forest treatments""";"Abstract: ""The silvopasture and open pasture treatments were seeded with forages and then grazed with cattle after the initial timber harvest. """;n.a.; - ;Experimental;L
6;FOLIA GEOBOTANICA;1.254;"Volařík D, Svátek M, Šenfeldr M, Kučera A, Šrámek M, Dreslerová J, et al. Variation in canopy openness among main structural types of woody vegetation in a traditionally managed landscape. Folia Geobotanica. 2017;52: 15–32. ";Included;Global (triplicated-methods) protocol;Triplicated;no;no;n.a.;Yes: from pooled value(s);Not found;"Introduction: ""We hypothesized that (i) in traditionally managed landscapes, not only coppicing but also several other management practices, such as burning and grazing, would cause an increase in canopy openness;""";"""In each stratum, three research plots were placed, with the exception of strata with very small area (less than 10 ha) where two research plots were placed.""";Fig 4. Structural types: abandonned coppices, active coppices, high forests, scrubs;Canopy openness;"""All statistical analyses were carried out in the R software environment v. 3.2.1 (R Core Team 2015), AICc using the ‘MuMIn’ package v. 1.15.1 (Bartoń 2015), LME in the ‘lme4’ package v. 1.1–10 (Bates et al. 2014), VIF in the ‘car’ package v. 2.1–0 (Fox and Weisberg 2011) and NMDS within the ‘vegan’
package v. 2.3–2 (Oksanen et al. 2015)""";p < 0.001;Fig 1. Table 3. plots;three identical research plots in each stratum;Result replication not found;no; - ; - ;"""Canopy openness differed significantly between structural woody vegetation types (F 3,66 = 9.665, P < 0.001; """; - ; - ; - ;L;L;M;Fig 4. Structural types: abandonned coppices, active coppices, high forests, scrubs;Not found;"Abstract: ""where long-established activities, such as human-induced burning, coppicing and grazing of woody vegetation are still being practised, we studied woody vegetation structure and canopy openness in 70 plots."""; - ;Association;L
7;Plant Biotechnology Reports;1.301;"Lin Z, Yan J, Yan H, Wang F. Characterization of a strong green tissue-specific motif in rice photosystem I gene promoter Ppsak. Plant Biotechnol Rep. 2017 Apr 1;11(2):87–95. ";Included;Global (replication-error) protocol (s.d.);Triplicated. No p-values found. Replication errors (s.d.) found;no;No;n.a.;Not found;Not found;"Fig 5. ""Quantitative comparison of activity in various Ppsak promoter fragment/GUS fusions. """;"Results: ""In the end, three biological replicates per each construct were analyzed by fluorometric assay""";various Ppsak    promoter fragment/ GUS fusions; Fig 5: GUS activity;not found;not found;Plant;Yes - Fig 5;No ;No; - ; - ; - ; - ; - ; - ;n.a.;L;n.a.;various Ppsak promoter fragment/ GUS fusions;"Results: ""In the end, three biological replicates per each construct were analyzed by fluorometric assay""";n.a.; - ;Experimental;L
8;NEW ZEALAND JOURNAL OF FORESTRY SCIENCE;1.333;"Schnabel F, Donoso PJ, Winter C. Short-term effects of single-tree selection cutting on stand structure and tree species composition in Valdivian rainforests of Chile. New Zealand Journal of Forestry Science. 2017;47: 21. ";Included;Global (triplicated-methods) protocol;Triplicated;Yes - 4 plots each;No;n.a.;Yes;Not found;"Table 3:  ""Mean values for the Gini coefficient, the Shannon index and the standard deviation for diameter at breast height (dbh) and height data and for the Shannon index and the evenness index for species diversity before and after harvesting.""";"""The four control plots were measured
once in 2014.""";high or low residual basal area or control;Shannon index (Table 3);"""All statistical analysis was conducted using R 3.1 (R Core Team 2014), the R packages nlme (Pinheiro et al. 2014), vegan (Oksanen et al. 2014), BiodiversityR (Kindt and Coe 2005) and AER (Kleiber and Zeileis 2008) as well as the software InfoStat (DiRienzo et al. 2011).""";Table 3: p < 0.001 ;plot;"Yes: Methods: ""All trees with a dbh ≥ 5 cm were recorded by species and diameter for the eight plots before cutting (2012) and were re-evaluated two growing seasons after harvesting (2014). The four control plots were measured once in 2014.""";No ;No; - ;Table 3; - ; - ; - ; - ;L;L;L;"high or low residual basal area or control ""The four control plots were measured once in 2014.""";"Methods: ""We examined the short-term effects of single-tree selection cutting on stand structure and tree species (richness, diversity and composition)""";n.a.; - ;Experimental;L
9;Botanical Studies;1.411;"He J, Lim RMP, Dass SHJ, Yam TW. Photosynthetic acclimation of Grammatophyllum speciosum to growth irradiance under natural conditions in Singapore. Botanical Studies. 2017;58: 58.";Included;Double result (repetition) protocol;Duplicated;no;no;n.a.;n.a.;Individual results given;"""the effects of different growth irradiances on leaf growth, water relations and photosynthetic gas exchanges,"""; - ;High, Intermediate and Low growth irradiances;Fig 3A. photosynthetic photon flux density;"""One-way ANOVA was used to test for signifcant differences among different growth irradiances, using Tukey’s multiple comparison tests to discriminate the means""";p < 0.05;Measurements (in March and October);Yes: Fig 3. ;Yes: Fig 3. ;no; - ; - ;"|Fig 3. ""Means with same letter above the bars are not statistically
different (p > 0.05) as determined by Tukey’s test"" a, b and c."; - ;"""These measurements were carried out in both March and October on sunny days. Similar results were obtained and thus, only data from October are shown in Fig. 3. A"""; - ;L;L;M;High, Intermediate and Low growth irradiances;"Methods: ""Grammatophyllum speciosum plants were planted on the grounds of National Institute of Education, Singapore in October 2012 by NParks under different growth irradiances""";n.a.; - ;Experimental;L
10;PHYTOPATHOLOGIA MEDITERRANEA;1.442;"Carlucci A, Lops F, Mostert L, Halleen F, Raimondo ML. Occurrence fungi causing black foot on young grapevines and nursery rootstock plants in Italy. Phytopathologia Mediterranea. 2017;56: 10–39–39. ";Included;Triple result (repetition) protocol;Triplicated results;no;no;n.a.;n.a.;Table 5: Limits given.;"Introduction: ""to characterise a collection of fungal isolates that were obtained from diseased young grapevines and rooted rootstock in Apulia and Molise (southern and central Italy), using morphological and molecular studies. """;"Methods: ""Each experiment included five replicates per isolate. "" Table 5 - three idolates from each fungal species.";Species;Mean lesion lengths;"""Factorial ANOVA""";p = 0.00071;Isolate;Yes - Table 5 has 3 isolates from each species;Yes - Table 5 has statistically significant results from 3 isolates from each species;Yes; - ; - ;"""Factorial ANOVA demonstrated that significant differences in pathogenicity were detected among the inoculated fungal species (F = 8.92, P=0.00071),"""; - ; - ; - ;L;L;L;Species;"Methods: ""Each experiment included five replicates per isolate. "" ";n.a.; - ;Experimental;L
